Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
12128,183,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10928.96175,183.0,0.0,183,183,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,5464.480874,5464.480874,0,0,0.0,0.0,0.0,0,0,1,0.0,0,106,256,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,403,2,70,35,35,35.0,0.0,132,132,132.0,0.0,828784.1191,9925.558313,134.3333333,230.9401077,401,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,64,64,4962.779156,4962.779156,35,132,73.8,53.12908808,2822.7,0,0,0,92.25,70,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,6278109,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.6371345257,2092703.0,3604567.84901616,6254878,47,6278109,3139054.5,4406439.85166081,6254878,23231,0,0.0,0.0,0,0,104,40,0.4778508943,0.1592836314,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Normal Traffic
37423,54,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,18518.51852,18518.51852,0,0,0.0,0.0,0.0,0,0,1,0.0,0,349,485,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,22199282,7,388,238,0,55.4285714286,92.3378888338,1486,0,600.6,796.6855088427,152.7526881275,0.5405580235,2018116.54545455,6641803.3267041,22043830,42,22199282,3699880.33333333,8986698.37448846,22043830,215,91273,22818.25,24662.3008574491,46098,173,152,112,0.3153255137,0.2252325098,0,1486,260.8461538462,542.4149466589,294213.974358974,0,1,0,282.5833333333,388,8192,110,6,20,0.0,0,0,0.0,0,0,Normal Traffic
443,114420,21,990,313,0,47.14285714,82.69116381,4380,0,1509.291667,1145.300776,325231.6029,393.2878867,2600.454545,6160.681216,24353,3,114420,5721.0,8759.839995,25133,3,85868,3733.391304,7846.526931,28299,50,432,492,183.5343471,209.7535396,0,4380,808.9782609,1104.73135,1220431.355,0,1,0,826.9555556,990,8192,1013,20,20,0.0,0,0,0.0,0,0,Normal Traffic
5102,44,1,0,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
60743,3,2,37,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,0,1,37.0,37,1006,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,116025506,9,374,374,0,41.55555556,124.6666667,5792,0,1656.428571,2120.732252,103.1583521,0.137900713,7735033.733,25800000.0,99900000,1,116000000,14500000.0,35000000.0,99900000,1,55659,9276.5,17557.80554,44238,46,304,232,0.077569151,0.060331562,0,5792,704.0588235,1539.162048,2369019.809,0,0,1,748.0625,374,274,235,1,32,979.0,979,979,58000000.0,99900000,16000000,DoS
443,118406414,14,972,322,0,69.42857143,97.09687018,1622,0,594.2666667,703.9183665,83.49209866,0.244919165,4228800.5,15400000.0,58800000,2,118000000,9108185.692,22100000.0,58800000,34,118000000,8444967.714,21400000.0,59000000,2,292,312,0.118236838,0.126682327,0,1622,329.5333333,562.2181276,316089.223,0,1,0,340.8965517,972,8192,35,13,20,367845.0,558888,176802,58700000.0,58800000,58700000,Normal Traffic
80,115990982,23,1294,337,0,56.26086957,125.5005315,2507,0,638.6086957,797.8752887,137.7865738,0.396582555,2577577.378,4402761.795,10200000,21,116000000,5272317.364,5096008.738,10200000,68,113000000,5135162.227,5201423.026,10200000,48,744,744,0.198291278,0.198291278,0,2507,340.0425532,631.9387683,399346.6068,0,1,0,347.4347826,1294,29200,1039,4,32,77836.45455,617867,23484,10200000.0,10200000,10000000,Normal Traffic
443,103418,6,2564,1909,0,427.3333333333,752.5736287345,2733,0,562.5,1074.498534201,57427.1403430737,116.0339592721,9401.6363636364,15103.6799507453,33353,4,69864,13972.8,18036.7917795821,33965,84,70065,14013.0,18279.1067068388,35006,4,132,132,58.016979636,58.016979636,0,2733,456.8461538462,860.4979998189,740456.807692308,0,1,0,494.9166666667,2564,8192,71,5,20,0.0,0,0,0.0,0,0,Normal Traffic
53,147432,2,64,32,32,32.0,0.0,128,128,128.0,0.0,2170.492159,27.13115199,49144.0,85112.97668,147424,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,64,80,13.56557599,13.56557599,32,128,70.4,52.58136552,2764.8,0,0,0,88.0,64,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
32774,78,2,4,2,2,2.0,0.0,6,6,6.0,0.0,205128.2051,51282.05128,26.0,22.06807649,47,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,48,40,25641.02564,25641.02564,2,6,3.6,2.19089023,4.8,0,1,0,4.5,4,1024,0,1,24,0.0,0,0,0.0,0,0,Normal Traffic
443,115800869,19,1078,517,0,56.73684211,142.6373966,305,0,27.64705882,79.74485969,13.36777533,0.310878496,3308596.257,4664160.143,10000000,3,116000000,6433381.611,4756352.498,10000000,3,111000000,6939683.125,4746345.558,10000000,258,392,484,0.164074762,0.146803734,0,517,41.83783784,115.1517148,13259.91742,0,1,0,43.0,1078,8192,980,18,20,93491.72727,707830,31882,10000000.0,10000000,9951622,Normal Traffic
53,331,2,74,37,37,37.0,0.0,102,102,102.0,0.0,839879.1541,12084.59215,110.3333333,179.9286896,318,1,12,12.0,0.0,12,12,1,1.0,0.0,1,1,64,64,6042.296073,6042.296073,37,102,63.0,35.60196624,1267.5,0,0,0,78.75,74,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,161403,3,26,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,72074.24893,49.56537363,23057.57143,60529.26502,160324,4,806,403.0,547.3006486,790,16,161301,40325.25,79999.84164,160324,4,72,112,18.58701511,30.97835852,0,10135,1292.555556,3350.634907,11200000.0,0,1,0,1454.125,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
1233,31,2,4,2,2,2.0,0.0,6,6,6.0,0.0,516129.0323,129032.2581,10.33333333,15.30795,28,1,2,2.0,0.0,2,2,1,1.0,0.0,1,1,48,40,64516.12903,64516.12903,2,6,3.6,2.19089023,4.8,0,1,0,4.5,4,1024,0,1,24,0.0,0,0,0.0,0,0,Normal Traffic
53,53478,1,63,63,63,63.0,0.0,121,121,121.0,0.0,3440.66719,37.39855642,53478.0,0.0,53478,53478,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,18.69927821,18.69927821,63,121,82.33333333,33.48631561,1121.333333,0,0,0,123.5,63,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,116873764,20,1311,437,0,65.55,160.0938787,796,0,149.25,320.8778584,31.64953257,0.308024648,3339250.4,4663388.013,10000000,40,117000000,6151250.737,4805984.903,10000000,128,112000000,7468970.867,4433021.081,10000000,1024,648,520,0.171124804,0.136899843,0,796,99.97297297,241.7502713,58443.19369,0,1,0,102.75,1311,29200,290,3,32,164633.3636,1573021,23470,10000000.0,10000000,10000000,Normal Traffic
53,30488,1,52,52,52,52.0,0.0,276,276,276.0,0.0,10758.33115,65.59958016,30488.0,0.0,30488,30488,0,0.0,0.0,0,0,0,0.0,0.0,0,0,44,20,32.79979008,32.79979008,52,276,126.6666667,129.3264603,16725.33333,0,0,0,190.0,52,-1,-1,0,44,0.0,0,0,0.0,0,0,Normal Traffic
53,170,2,72,36,36,36.0,0.0,143,143,143.0,0.0,2105882.35294118,23529.4117647059,56.6666666667,92.9533933395,164,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,11764.7058823529,11764.7058823529,36,143,78.8,58.6063136531,3434.7,0,0,0,98.5,72,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
443,217158,14,885,405,0,63.2142857143,123.1860247889,1418,0,458.6666666667,597.0531802109,23084.5743652087,105.9136665469,9870.8181818182,16883.1655507191,52515,0,217158,16704.4615384615,19570.715493714,52609,0,170485,21310.625,30126.4501912356,71553,4,460,296,64.4691883329,41.444478214,0,1418,208.875,414.4814793681,171794.89673913,0,1,0,217.9565217391,885,65535,349,6,32,0.0,0,0,0.0,0,0,Normal Traffic
53,61077,1,58,58,58,58.0,0.0,186,186,186.0,0.0,3994.957185,32.7455507,61077.0,0.0,61077,61077,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,16.37277535,16.37277535,58,186,100.6666667,73.90083446,5461.333333,0,0,0,151.0,58,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
3871,62,1,0,0,0,0.0,0.0,6,6,6.0,0.0,96774.19355,32258.06452,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,16129.03226,16129.03226,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
53,190,2,72,36,36,36.0,0.0,86,86,86.0,0.0,1284210.526,21052.63158,63.33333333,68.96617528,139,4,4,4.0,0.0,4,4,47,47.0,0.0,47,47,64,64,10526.31579,10526.31579,36,86,56.0,27.38612788,750.0,0,0,0,70.0,72,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,100152709,6,351,351,0,58.5,143.29515,5792,0,1932.5,2181.008184,119.277852,0.119817029,9104791.727,30100000.0,100000000,1,100000000,20000000.0,44700000.0,100000000,1,186451,37290.2,79922.27313,180187,46,200,200,0.059908514,0.059908514,0,5792,918.9230769,1716.029014,2944755.577,0,0,1,995.5,351,274,235,1,32,4.0,4,4,100000000.0,100000000,100000000,DoS
443,5067303,6,611,517,0,101.8333333,204.3050823,152,0,41.0,74.05403433,152.9413181,1.973436362,563033.6667,1637613.774,4929504,3,5067303,1013460.6,2229341.438,5001320,4,105196,35065.33333,36207.7674,72319,3,132,92,1.184061817,0.789374545,0,517,70.45454545,154.756818,23949.67273,0,1,0,77.5,611,8192,946,5,20,0.0,0,0,0.0,0,0,Normal Traffic
80,116509632,7,298,298,0,42.57142857,112.633413,8688,0,2319.0,3776.347044,102.0773973,0.102995776,10600000.0,30200000.0,100000000,2,117000000,19400000.0,40200000.0,100000000,2,2235,558.75,604.9900137,1353,2,240,168,0.06008087,0.042914907,0,8688,914.8461538,2468.814353,6095044.308,0,0,1,991.0833333,298,251,235,1,32,6.0,6,6,58300000.0,100000000,16000000,DoS
80,1261259,3,26,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,9223.323679,5.55000995,210209.8333,514582.5652,1260597,1,618,309.0,435.5777772,617,1,1261213,420404.3333,727628.2565,1260597,5,72,92,2.378575693,3.171434257,0,11595,1454.125,4097.537534,16800000.0,0,1,0,1661.857143,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
53,30689,2,52,26,26,26.0,0.0,42,42,42.0,0.0,4431.55528,130.3398612,10229.66667,17712.24024,30682,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,40,40,65.16993059,65.16993059,26,42,32.4,8.76356092,76.8,0,0,0,40.5,52,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
49449,344,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5813.953488,344.0,0.0,344,344,344,344.0,0.0,344,344,0,0.0,0.0,0,0,64,0,5813.953488,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,5149,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,23202,1,62,62,62,62.0,0.0,78,78,78.0,0.0,6033.962589,86.19946556,23202.0,0.0,23202,23202,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,43.09973278,43.09973278,62,78,67.33333333,9.237604307,85.33333333,0,0,0,101.0,62,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,30499,1,51,51,51,51.0,0.0,112,112,112.0,0.0,5344.4375225417,65.575920522,30499.0,0.0,30499,30499,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,32.787960261,32.787960261,51,112,71.3333333333,35.2183664206,1240.3333333333,0,0,0,107.0,51,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
50734,74,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40540.5405405405,37.0,48.0832611207,71,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,64,32,27027.027027027,13513.5135135135,0,0,0.0,0.0,0.0,0,0,1,0.0,0,362,32832,0,32,0.0,0,0,0.0,0,0,Normal Traffic
443,4393118,5,123,46,0,24.6,23.27659769,46,0,23.0,32.52691193,38.46926033,1.593401315,732186.3333,1709209.178,4220527,38,4393118,1098279.5,2082285.198,4220527,38,4297232,4297232.0,0.0,4297232,4297232,160,64,1.138143797,0.455257519,0,46,26.875,22.82503325,520.9821429,0,0,1,30.71428571,123,332,357,2,32,0.0,0,0,0.0,0,0,Normal Traffic
80,5483591,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.729449005,1827863.667,3129771.39,5441732,56,5483591,2741795.5,3818286.816,5441732,41859,0,0.0,0.0,0,0,104,40,0.547086754,0.182362251,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,28960,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,10212138,16,772,772,0,48.25,193.0,4344,0,1581.894737,1073.683064,3018.760616,3.427294069,300357.0,1694807.893,9890506,3,321480,21432.0,43974.89861,108154,3,10100000,561463.5,2328469.807,9890506,3,520,616,1.566763003,1.860531066,0,4344,856.3333333,1101.851481,1214076.686,0,1,0,880.8,772,29200,239,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,23906,2,76,38,38,38.0,0.0,98,98,98.0,0.0,11377.89676,167.3220112,7968.666667,13799.53747,23903,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,80,40,83.66100561,83.66100561,38,98,62.0,32.86335345,1080.0,0,0,0,77.5,76,-1,-1,1,40,0.0,0,0,0.0,0,0,Normal Traffic
53,48907,2,70,35,35,35.0,0.0,73,73,73.0,0.0,4416.545689,81.78788313,16302.33333,28231.27346,48901,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,40,40,40.89394156,40.89394156,35,73,50.2,20.81345719,433.2,0,0,0,62.75,70,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
80,115389707,17,519,435,0,30.52941176,104.2485717,796,0,106.5333333,279.9269973,18.34652375,0.277321096,3722248.613,4805516.287,10000000,40,115000000,7211856.688,4435438.943,10000000,234,110000000,7883238.786,4228610.04,10000000,694,364,444,0.147326832,0.129994264,0,796,64.15151515,203.1923536,41287.13258,0,1,0,66.15625,519,8192,288,15,20,45991.45455,269839,23437,9987277.909,10000000,9788778,Normal Traffic
80,5896632,3,12,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.0350600139,0.678353338,1965544.0,3360494.16032642,5845798,66,5896632,2948316.0,4097658.34113192,5845798,50834,0,0.0,0.0,0,0,72,32,0.5087650035,0.1695883345,0,6,2.4,3.286335345,10.8,0,1,0,3.0,12,8192,29200,2,20,0.0,0,0,0.0,0,0,Normal Traffic
53,328,2,68,34,34,34.0,0.0,386,386,386.0,0.0,2560975.61,12195.12195,109.3333333,145.2251126,275,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,64,64,6097.560976,6097.560976,34,386,174.8,192.7983402,37171.2,0,0,0,218.5,68,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
